add,AD
rough,RUF
rougher,RUFR
rub,RUB
rubbed,RUBD
rubble,RUBL
rudd,RUD
ruffle,RUFL
rug,RUG
rugged,RUGD
rural,RURL
rut,RUT
ruts,RUTS
sad,SAD
sag,SAG
sagged,SAGD
said,SED
salad,SALD
sap,SAP
sass,SAS
sat,SAT
says,SEZ
scab,SKAB
scad,SKAD
scads,SKADZ
scaffold,SKAFLD
scat,SKAT
scrabble,SKRABL
scrap,SKRAP
scraps,SKRAPS
scrub,SKRUB
scrubbed,SKRUBD
scud,SKUD
scuff,SKUF
scuffle,SKUFL
scuffled,SKUFLD
secure,SKUR
security,SKURT
segue,SEG
seldom,SELD
sell,SEL
sells,SELZ
set,SET
sets,SETS
shad,SHAD
shaft,SHAFT
shafts,SHAFTS
shag,SHAG
shall,SHAL
shalt,SHALT
shed,SHED
sheds,SHEDZ
shell,SHEL
shod,SHOD
shop,SHOP
shops,SHOPS
shot,SHOT
shots,SHOTS
should,SHUD
shrub,SHRUB
shuffle,SHUFL
shuffled,SHUFLD
shut,SHUT
shuts,SHUTS
skull,SKUL
sob,SOB
sod,SOD
soft,SOFT
sol,SOL
solid,SOLD
solids,SOLDZ
sop,SOP
spat,SPAT
spats,SPATS
sped,SPED
spell,SPEL
spelled,SPELD
spot,SPOT
spots,SPOTS
spread,SPRED
spreads,SPREDZ
spud,SPUD
spuds,SPUDZ
stab,STAB
stabbed,STABD
staff,STAF
staffer,STAFR
staffs,STAFS
stag,STAG
stat,STAT
stats,STATS
stead,STED
step,STEP
steps,STEPS
sterile,STERL
sterilize,STERLZ
stet,STET
stop,STOP
stops,STOPS
strap,STRAP
straps,STRAPS
strep,STREP
stress,STRES
strut,STRUT
struts,STRUTS
stub,STUB
stubbed,STUBD
stubble,STUBL
stud,STUD
studs,STUDZ
stuff,STUF
stuffer,STUFR
stuffs,STUFS
sub,SUB
subject,SUBT
subjects,SUBTS
sudden,SUD
suds,SUDZ
suffer,SUFR
suffered,SUFRD
sup,SUP
suppress,SPRES
sure,SHUR
surely,SHURL
suss,SUS
sweat,SWET
swell,SWEL
swelled,SWELD
swept,SWEPT
tab,TAB
tablet,TABLT
tablets,TABLTS
tad,TAD
tag,TAG
tagged,TAGD
tags,TAGZ
tap,TAP
taps,TAPS
tat,TAT
tell,TEL
tepid,TEPD
terrible,TERBL
that'd,THATD
that's,THATS
theft,THEFT
thefts,THEFTS
they're,THER
thread,THRED
threads,THREDZ
threat,THRET
threats,THRETS
throb,THROB
thud,THUD
thug,THUG
thus,THUS
top,TOP
tops,TOPS
tough,TUF
tougher,TUFR
trap,TRAP
traps,TRAPS
tread,TRED
treads,TREDZ
treble,TREBL
tress,TRES
trod,TROD
trot,TROT
trots,TROTS
trouble,TRUBL
troubled,TRUBLD
truffle,TRUFL
truss,TRUS
trusses,TRUSZ
tub,TUB
tuft,TUFT
tug,TUG
tugged,TUGD
ugh,UG
up,UP
ups,UPS
us,US
wag,WAG
was,WUZ
weapon,WEP
web,WEB
webbed,WEBD
wed,WED
weld,WELD
welds,WELDZ
well,WEL
welt,WELT
wept,WEPT
wet,WET
whereas,WRAZ
with,W
wobble,WOBL
wobbled,WOBLD
wop,WOP
you'd,UD
you're,UR
